model,f1_macro,recall_macro,fit_median_s,predict_ms,size_kb,is_pareto
rf_300,0.6361554909393666,0.6415499022822883,0.3856297000020277,62.314200011314824,2694.5419921875,True
logistic,0.6354610458402525,0.6359187121136838,0.06300100000225939,6.494600005680695,5.916015625,True
rf_100,0.6337505065074396,0.6386804796449038,0.1482096000108868,30.865899985656142,879.2294921875,False
boost,0.6318741236952796,0.6330120242472423,0.22971449999022298,6.433300004573539,211.970703125,False
svm_c1,0.6181706606627152,0.618652489317301,0.8565105999878142,43.97210001479834,188.568359375,False
svm_c10,0.6128983499702875,0.6129343469475637,0.9113320000178646,30.806700000539422,171.083984375,False
